,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
0,0.9375,0.040694519804666304,0.4273504273504274,0.3333333333333333,0.3333333333333333,0.9090909090909092,0.9090909090909091,0.9101265822784811,0.9090909090909091,0.9090909090909091,0.9087656529516994,0.47058823529411764,0.46428571428571425,0.6296952926916739,0.7619733469267199,0.6800220412767571,0.42513044483574386
1,0.9375,0.040694519804666304,0.4273504273504274,0.3333333333333333,0.3333333333333333,0.9090909090909092,0.9090909090909091,0.9101265822784811,0.9090909090909091,0.9090909090909091,0.9087656529516994,0.029411764705882353,0.17857142857142858,0.6812211695136594,0.7942673739796287,0.7180274624584427,0.5516093213521117
2,0.9375,0.040694519804666304,0.4273504273504274,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.47058823529411764,0.46428571428571425,0.5884995578024783,0.745196665890298,0.6557097109461169,0.43111001526248716
3,0.9375,0.040694519804666304,0.4273504273504274,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.029411764705882353,0.17857142857142858,0.6249602838921078,0.7631501035192106,0.6775252685615049,0.479847274747622
4,0.9375,0.040694519804666304,0.4273504273504274,0.3333333333333333,0.3333333333333333,0.9090909090909092,0.9090909090909091,0.9101265822784811,0.9090909090909091,0.9090909090909091,0.9087656529516994,0.7058823529411765,0.6964285714285714,0.5434581942519148,0.7144504158948788,0.6198056953369526,0.38313519714417543
5,0.9375,0.040694519804666304,0.4273504273504274,0.3333333333333333,0.3333333333333333,0.9090909090909092,0.9090909090909091,0.9101265822784811,0.9090909090909091,0.9090909090909091,0.9087656529516994,1.0,1.0,0.47484821870401095,0.6837979342508111,0.5869999281675984,0.31496010411437647
6,0.9375,0.040694519804666304,0.4273504273504274,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.7058823529411765,0.6964285714285714,0.43616528739249216,0.6574806856340805,0.5602902296409017,0.2926916655363739
7,0.9375,0.040694519804666304,0.4273504273504274,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37808822951702015,0.6400053045541184,0.5375615490504496,0.26533600076382885
8,0.9375,0.040694519804666304,0.4273504273504274,0.3333333333333333,0.3333333333333333,0.8181818181818183,0.8181818181818181,0.8189873417721519,0.8181818181818181,0.8181818181818182,0.8193202146690518,0.47058823529411764,0.46428571428571425,0.6562614523674691,0.7742048466487669,0.6940877866461479,0.4721461541805232
9,0.9375,0.040694519804666304,0.4273504273504274,0.3333333333333333,0.3333333333333333,0.8181818181818183,0.8181818181818181,0.8189873417721519,0.8181818181818181,0.8181818181818182,0.8193202146690518,0.029411764705882353,0.17857142857142858,0.7120602437906939,0.8145938054168077,0.7480921751853261,0.5972384731293879
