,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
0,2.0,2.0,0.0,-1.0,-1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9162359620868691,-0.6251773281418027,-0.7327653843302249,-1.2091785986978372
1,2.0,2.0,0.0,-1.0,-1.52,0.0,0.0,0.0,0.0,0.0,0.0,-0.7414730598121602,-0.5517241379310345,-0.6009325568278908,-0.33623363286577485,-0.44363917415657944,-0.6112662797635984
2,2.0,2.0,0.0,-1.0,-1.52,0.7413793103448275,1.0,0.9861111111111099,0.607843137254902,1.0,1.0200000000000002,0.0,0.0,-1.1683259078355874,-0.7752829871600823,-0.917721417191536,-1.1809109628794403
3,2.0,2.0,0.0,-1.0,-1.52,0.7413793103448275,1.0,0.9861111111111099,0.607843137254902,1.0,1.0200000000000002,-0.7414730598121602,-0.5517241379310345,-0.9452110031830624,-0.6146485576754361,-0.7517595806943403,-0.9505119536544844
4,2.0,2.0,0.0,-1.0,-1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.3954522985664854,0.44827586206896547,-1.4439484916892324,-1.0503782880651709,-1.1908611862120528,-1.4077056304289735
5,2.0,2.0,0.0,-1.0,-1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.8897676717745922,1.0344827586206897,-1.8637949893961625,-1.324634617296176,-1.440431032791865,-1.7299944512166041
6,2.0,2.0,0.0,-1.0,-1.52,0.7413793103448275,1.0,0.9861111111111099,0.607843137254902,1.0,1.0200000000000002,0.3954522985664854,0.44827586206896547,-2.100508282215214,-1.5601024037186557,-1.643625042219809,-1.8352655772413133
7,2.0,2.0,0.0,-1.0,-1.52,0.7413793103448275,1.0,0.9861111111111099,0.607843137254902,1.0,1.0200000000000002,0.8897676717745922,1.0344827586206897,-2.4559004704709135,-1.7164595275090195,-1.8165334609937984,-1.9645858986312916
8,2.0,2.0,0.0,-1.0,-1.52,-0.7413793103448275,-1.0,-1.0,-0.607843137254902,-1.0,-1.0,0.0,0.0,-0.7536690903115234,-0.5157386779955796,-0.625760238078111,-0.9869179922238602
9,2.0,2.0,0.0,-1.0,-1.52,-0.7413793103448275,-1.0,-1.0,-0.607843137254902,-1.0,-1.0,-0.7414730598121602,-0.5517241379310345,-0.41221834691395964,-0.1543673638615711,-0.2149218969784487,-0.3955604425392856
10,2.0,2.0,0.0,-1.0,-1.52,-1.4051724137931039,-1.9038461538461526,-1.9027777777777775,-1.1568627450980387,-1.8999999999999997,-1.9199999999999988,0.0,0.0,-1.2047360177350563,-1.1687462873858154,-1.1574424348812642,-1.0803719135857528
11,2.0,0.0,0.0,-1.0,-1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0257880294177129,-0.6066358002549219,-0.7460717137508118,-1.1416684655496463
12,2.0,0.0,0.0,-1.0,-1.52,0.0,0.0,0.0,0.0,0.0,0.0,-0.7414730598121602,-0.5517241379310345,-0.6654867149184921,-0.3142577630394097,-0.4300376855403161,-0.7056150953598418
13,2.0,0.0,0.0,-1.0,-1.52,0.7413793103448275,1.0,0.9861111111111099,0.607843137254902,1.0,1.0200000000000002,0.0,0.0,-1.3457256745476542,-0.8343499470314366,-0.9865829509749637,-1.257907060083854
14,2.0,0.0,0.0,-1.0,-1.52,0.7413793103448275,1.0,0.9861111111111099,0.607843137254902,1.0,1.0200000000000002,-0.7414730598121602,-0.5517241379310345,-1.1915243190176894,-0.7200212819660228,-0.8773144853467241,-1.1632308589412228
15,2.0,0.0,0.0,-1.0,-1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.3954522985664854,0.44827586206896547,-1.484076806902632,-0.9388288795270056,-1.080386982458335,-1.4333776295035912
16,2.0,0.0,0.0,-1.0,-1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.8897676717745922,1.0344827586206897,-2.0656351057043913,-1.438632691309319,-1.58056662338352,-1.8021877746270007
